epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3966,2.39777,4.20293,1.22494,0.00536,0.09575,0.02064,0.00924,2.09817,4.15168,0.98584,0.0001111,0.0001111,0.0001111
2,4.24304,2.00249,2.64931,0.98857,0.00821,0.14906,0.06419,0.02231,2.02042,3.72186,0.96094,0.000231,0.000231,0.000231
3,5.87732,1.90604,1.83932,0.98068,0.02014,0.26675,0.16071,0.08661,1.8514,3.27699,0.93331,0.000348481,0.000348481,0.000348481
4,7.50493,1.82409,1.59301,0.97203,0.03118,0.31533,0.25313,0.1281,1.82429,3.1807,0.93137,0.000463541,0.000463541,0.000463541
5,9.11179,1.82931,1.43436,0.98134,0.03283,0.30825,0.27557,0.14075,1.82047,3.06878,0.92486,0.000576182,0.000576182,0.000576182
6,10.7491,1.73015,1.33326,0.97435,0.03551,0.42126,0.31308,0.16831,1.76682,2.81071,0.92017,0.000686404,0.000686404,0.000686404
7,12.3637,1.71597,1.26968,0.96194,0.93961,0.16802,0.3847,0.20659,1.83171,2.40925,0.96791,0.000794205,0.000794205,0.000794205
8,13.9658,1.71582,1.22827,0.96652,0.79382,0.276,0.47392,0.26999,1.62405,2.01816,0.91999,0.000899587,0.000899587,0.000899587
9,15.52,1.68748,1.17014,0.94576,0.87158,0.35253,0.49804,0.29428,1.56501,1.79321,0.91678,0.00100255,0.00100255,0.00100255
10,17.1106,1.64068,1.13856,0.93975,0.73782,0.42233,0.45281,0.23613,1.5963,1.6372,0.92054,0.00101201,0.00101201,0.00101201
11,18.6249,1.63807,1.08596,0.94057,0.8249,0.45944,0.56451,0.31532,1.49965,1.41056,0.90339,0.00100101,0.00100101,0.00100101
12,20.2348,1.64089,1.07083,0.94744,0.84602,0.50505,0.77327,0.36981,1.50024,1.05078,0.90088,0.000990012,0.000990012,0.000990012
13,21.8015,1.60821,1.01859,0.93685,0.8098,0.53271,0.80016,0.38818,1.63835,1.08623,0.91915,0.000979013,0.000979013,0.000979013
14,23.4184,1.58519,1.01196,0.94966,0.86393,0.53178,0.81511,0.4142,1.50535,1.02989,0.8982,0.000968014,0.000968014,0.000968014
15,25.0011,1.52559,0.97178,0.92007,0.85795,0.51215,0.62411,0.31726,1.50744,0.94669,0.89029,0.000957015,0.000957015,0.000957015
16,26.553,1.55229,0.9794,0.92954,0.81625,0.49111,0.58533,0.32364,1.46672,0.9021,0.88624,0.000946016,0.000946016,0.000946016
17,28.0909,1.57223,0.96696,0.9454,0.86668,0.48648,0.60054,0.31228,1.53995,0.88269,0.91058,0.000935018,0.000935018,0.000935018
18,29.6021,1.56532,0.95688,0.92977,0.79534,0.53017,0.69634,0.35056,1.49135,0.83668,0.88965,0.000924019,0.000924019,0.000924019
19,31.122,1.53309,0.9389,0.91982,0.82005,0.54646,0.69642,0.38619,1.41144,0.82089,0.875,0.00091302,0.00091302,0.00091302
20,32.6634,1.48713,0.90706,0.9173,0.84164,0.5508,0.63112,0.35824,1.41884,0.79173,0.88508,0.000902021,0.000902021,0.000902021
21,34.1912,1.47874,0.88893,0.93044,0.87078,0.56405,0.8294,0.36039,1.42255,0.80896,0.88283,0.000891022,0.000891022,0.000891022
22,35.7632,1.48833,0.89024,0.91783,0.77176,0.60062,0.82862,0.42443,1.41621,0.75814,0.88508,0.000880023,0.000880023,0.000880023
23,37.4259,1.46841,0.86745,0.91602,0.7938,0.5973,0.84,0.48435,1.46829,0.79785,0.88626,0.000869024,0.000869024,0.000869024
24,38.9639,1.45755,0.85107,0.91969,0.85412,0.56401,0.70204,0.38234,1.43994,0.79884,0.88484,0.000858025,0.000858025,0.000858025
25,40.6103,1.4351,0.85187,0.91497,0.79367,0.62466,0.73384,0.38801,1.43289,0.77704,0.88544,0.000847026,0.000847026,0.000847026
26,42.2244,1.45902,0.84162,0.90863,0.8754,0.57277,0.65896,0.36887,1.4585,0.73545,0.89273,0.000836027,0.000836027,0.000836027
27,43.7561,1.4269,0.82792,0.90892,0.80859,0.59002,0.67999,0.34924,1.412,0.73795,0.88317,0.000825029,0.000825029,0.000825029
28,45.3312,1.42155,0.83174,0.91802,0.88023,0.56693,0.68201,0.35097,1.55578,0.74512,0.89634,0.00081403,0.00081403,0.00081403
29,46.8721,1.45298,0.83063,0.90344,0.88178,0.58153,0.69906,0.37278,1.42661,0.76569,0.88302,0.000803031,0.000803031,0.000803031
30,48.3988,1.42828,0.83643,0.91219,0.89976,0.59486,0.69368,0.35365,1.4272,0.71078,0.88361,0.000792032,0.000792032,0.000792032
31,49.9342,1.42629,0.80752,0.90565,0.91803,0.58781,0.73833,0.37779,1.44134,0.74003,0.8784,0.000781033,0.000781033,0.000781033
32,51.467,1.4174,0.80834,0.90659,0.86303,0.58119,0.60975,0.34492,1.52902,0.74511,0.88401,0.000770034,0.000770034,0.000770034
33,53.0485,1.40706,0.81532,0.89114,0.84514,0.5624,0.59716,0.33911,1.48028,0.72508,0.88028,0.000759035,0.000759035,0.000759035
34,54.5556,1.38852,0.79088,0.90261,0.86446,0.56509,0.61688,0.36018,1.41453,0.7283,0.87498,0.000748036,0.000748036,0.000748036
35,56.1428,1.36325,0.78497,0.89791,0.8807,0.58122,0.66241,0.36589,1.43294,0.74818,0.87512,0.000737037,0.000737037,0.000737037
36,57.7016,1.37647,0.78263,0.89946,0.87045,0.57622,0.63414,0.35616,1.48089,0.76006,0.8815,0.000726038,0.000726038,0.000726038
37,59.2162,1.37888,0.77173,0.89996,0.87601,0.5959,0.62983,0.3813,1.35667,0.67902,0.87115,0.00071504,0.00071504,0.00071504
38,60.7964,1.36018,0.76265,0.90639,0.93808,0.59406,0.64644,0.37276,1.41196,0.7084,0.87869,0.000704041,0.000704041,0.000704041
39,62.3796,1.36773,0.76506,0.89921,0.60609,0.60787,0.68494,0.3629,1.46923,0.69534,0.88835,0.000693042,0.000693042,0.000693042
40,63.9324,1.41582,0.77001,0.89482,0.54648,0.64005,0.65876,0.34596,1.52268,0.69196,0.89268,0.000682043,0.000682043,0.000682043
41,65.4562,1.42951,0.78557,0.89956,0.89166,0.61268,0.61941,0.35737,1.39751,0.6744,0.88064,0.000671044,0.000671044,0.000671044
42,67.05,1.36301,0.74125,0.89679,0.85554,0.57415,0.6386,0.35016,1.50967,0.72734,0.88777,0.000660045,0.000660045,0.000660045
43,68.6174,1.3921,0.73894,0.89364,0.86682,0.61582,0.67184,0.37755,1.37358,0.70193,0.8761,0.000649046,0.000649046,0.000649046
44,70.1789,1.38536,0.74789,0.89821,0.86137,0.59599,0.67374,0.35555,1.49066,0.71501,0.87899,0.000638047,0.000638047,0.000638047
45,71.763,1.36805,0.73305,0.90287,0.85221,0.57755,0.65376,0.35328,1.49446,0.70165,0.88585,0.000627048,0.000627048,0.000627048
